speed	time
68	"2016-04-15 12:24:26,509"
68	"2016-04-15 12:24:27,555"
68	"2016-04-15 12:24:28,545"
68	"2016-04-15 12:24:29,565"
68	"2016-04-15 12:24:30,527"
68	"2016-04-15 12:24:31,512"
68	"2016-04-15 12:24:32,566"
67	"2016-04-15 12:24:33,523"
66	"2016-04-15 12:24:34,515"
66	"2016-04-15 12:24:35,539"
66	"2016-04-15 12:24:36,525"
66	"2016-04-15 12:24:37,537"
66	"2016-04-15 12:24:38,593"
66	"2016-04-15 12:24:39,554"
66	"2016-04-15 12:24:40,565"
66	"2016-04-15 12:24:41,564"
66	"2016-04-15 12:24:42,563"
66	"2016-04-15 12:24:43,586"
66	"2016-04-15 12:24:44,565"
66	"2016-04-15 12:24:45,585"
66	"2016-04-15 12:24:46,564"
66	"2016-04-15 12:24:47,563"
66	"2016-04-15 12:24:48,554"
65	"2016-04-15 12:24:49,564"
65	"2016-04-15 12:24:50,574"
65	"2016-04-15 12:24:51,575"
64	"2016-04-15 12:24:52,553"
64	"2016-04-15 12:24:53,565"
64	"2016-04-15 12:24:54,556"
64	"2016-04-15 12:24:55,574"
63	"2016-04-15 12:24:56,554"
63	"2016-04-15 12:24:57,564"
64	"2016-04-15 12:24:58,565"
63	"2016-04-15 12:24:59,574"
63	"2016-04-15 12:25:00,604"
64	"2016-04-15 12:25:01,594"
64	"2016-04-15 12:25:02,604"
63	"2016-04-15 12:25:03,615"
63	"2016-04-15 12:25:04,635"
63	"2016-04-15 12:25:05,629"
64	"2016-04-15 12:25:06,632"
65	"2016-04-15 12:25:07,613"
66	"2016-04-15 12:25:08,650"
67	"2016-04-15 12:25:09,642"
68	"2016-04-15 12:25:10,634"
68	"2016-04-15 12:25:11,650"
69	"2016-04-15 12:25:12,664"
70	"2016-04-15 12:25:13,652"
71	"2016-04-15 12:25:14,654"
71	"2016-04-15 12:25:15,692"
71	"2016-04-15 12:25:16,682"
71	"2016-04-15 12:25:17,702"
72	"2016-04-15 12:25:18,730"
72	"2016-04-15 12:25:19,684"
72	"2016-04-15 12:25:20,715"
71	"2016-04-15 12:25:21,712"
71	"2016-04-15 12:25:22,723"
71	"2016-04-15 12:25:23,729"
70	"2016-04-15 12:25:24,756"
70	"2016-04-15 12:25:25,733"
70	"2016-04-15 12:25:26,764"
69	"2016-04-15 12:25:27,774"
69	"2016-04-15 12:25:28,754"
68	"2016-04-15 12:25:29,763"
68	"2016-04-15 12:25:30,752"
68	"2016-04-15 12:25:31,734"
68	"2016-04-15 12:25:32,783"
68	"2016-04-15 12:25:33,734"
67	"2016-04-15 12:25:34,766"
67	"2016-04-15 12:25:35,774"
68	"2016-04-15 12:25:36,783"
69	"2016-04-15 12:25:37,782"
69	"2016-04-15 12:25:38,764"
69	"2016-04-15 12:25:39,794"
69	"2016-04-15 12:25:40,770"
69	"2016-04-15 12:25:41,753"
69	"2016-04-15 12:25:42,762"
69	"2016-04-15 12:25:43,761"
69	"2016-04-15 12:25:44,777"
69	"2016-04-15 12:25:45,756"
69	"2016-04-15 12:25:46,764"
68	"2016-04-15 12:25:47,783"
68	"2016-04-15 12:25:48,780"
67	"2016-04-15 12:25:49,767"
67	"2016-04-15 12:25:50,766"
67	"2016-04-15 12:25:51,757"
67	"2016-04-15 12:25:52,769"
67	"2016-04-15 12:25:53,775"
67	"2016-04-15 12:25:54,768"
67	"2016-04-15 12:25:55,800"
67	"2016-04-15 12:25:56,760"
67	"2016-04-15 12:25:57,770"
67	"2016-04-15 12:25:58,757"
67	"2016-04-15 12:25:59,787"
68	"2016-04-15 12:26:00,768"
68	"2016-04-15 12:26:01,801"
68	"2016-04-15 12:26:02,781"
68	"2016-04-15 12:26:03,819"
